SpeciesID	SeedMass	SeedlingMass	AdultMass	Annual	AltitudeOptimum	AltitudeTolerance	MaximumSuitability	MeanDispDist	LongDistDispAbility	AlleeThreshold
32	32	0.0604965	60000	3e+05	0	8	5	0	0.03901	0.15	-0.211
33	33	0.121825	540000	2700000	0	10	2	0.01	0.02601	0.05	-0.807
34	34	0.502991	11000	55000	0	1	8	0.65	0.04701	0.9	416
35	35	0.493761	10600	53000	0	10	5	0.87	0.02101	0.11	560
36	36	0.0434281	82	410	0	9	6	0.24	0.01201	0.67	-0.732
37	37	0.0149182	16800	84000	0	8	2	0.21	0.01501	0.09	-0.356
38	38	0.0182212	2e+05	1e+06	0	9	4	0.48	0.02001	0.5	233
39	39	0.0303315	40	200	0	6	3	0.96	0.02301	0.43	-0.811
40	40	0.28775	3600	18000	0	9	1	0.77	0.03001	0.46	-0.849
41	41	13.3943	240000	1200000	0	12	9	0.68	0.03401	0.64	-0.569
42	42	0.0214476	20	100	1	7	9	0.3	0.04501	0.14	-0.592
43	43	0.059127	152	760	0	12	5	0.66	0.00601	0.57	-0.211
44	44	0.0493761	106	530	1	8	2	0.38	0.02001	0.3	-0.952
45	45	0.0444747	86	430	0	11	8	0.81	0.03601	0.93	-0.125
46	46	0.234947	2400	12000	0	10	1	0.09	0.03801	0.68	-0.692
47	47	0.0816617	1780000	8900000	0	4	8	0.21	0.02601	0.21	-0.253
48	48	0.0325269	46	230	1	2	7	0.14	0.04901	0.58	-0.009
49	49	2.70426	980000	4900000	0	1	9	0.2	0.01901	0.86	-0.087
50	50	0.164446	280000	1400000	0	11	2	0.67	0.01601	0.26	333
51	51	0.0650538	184	920	0	14	9	0.19	0.04101	0.93	-0.461
52	52	0.0542586	128	640	1	1	6	0.77	0.04101	0.24	581
53	53	14.803	12200	61000	0	13	1	0.68	0.03401	0.28	-0.748
54	54	0.0295635	38	190	0	13	5	0.58	0.03101	0.75	1000
55	55	0.271126	17200	86000	0	7	5	0.47	0.04601	0.47	-0.773
56	56	16.3598	840000	4200000	0	4	9	0.61	0.01901	0.16	-0.903
57	57	0.0604965	13600	68000	0	8	3	0.84	0.00401	0.32	-0.338
58	58	0.0484355	102	510	1	9	2	0.33	0.04701	0.74	-0.387
59	59	0.0300417	15800	79000	0	13	9	0.03	0.03701	0.98	-0.43
60	60	8.12406	19400	97000	0	1	4	0.53	0.00101	0.81	-0.717
61	61	16.3598	11400	57000	0	7	7	0.87	0.01601	0.83	-0.138
62	62	0.224944	2200	11000	0	13	2	0.79	0.01501	0.79	-0.555
63	63	0.245325	1920000	9600000	0	15	6	0.18	0.02801	0.8	-0.581
64	64	0.666863	1120000	5600000	0	4	9	0.54	0.01901	0.19	-0.37
65	65	0.0134986	1760000	8800000	0	10	8	0.28	0.04201	0.62	-0.08
66	66	0.412553	7400	37000	0	1	4	0.68	0.00501	0.26	-0.599
67	67	0.310805	4200	21000	0	14	8	0.18	0.03201	0.87	-0.672
68	68	4.92749	7e+05	3500000	0	14	6	0.23	0.01101	0.94	-0.091
69	69	10.9663	1860000	9300000	0	2	3	0.64	0.04901	0.35	-0.223
70	70	0.191833	1600	8000	0	7	3	0.41	0.03001	0.1	326
71	71	0.01	17400	87000	0	3	5	0.39	0.02601	0.66	-0.34
72	72	0.0542586	128	640	1	3	1	0.48	0.03901	0.41	291
73	73	0.0816617	16000	80000	0	8	6	0.43	0.03401	0.4	206
74	74	0.494024	17000	85000	0	11	4	0.38	0.02101	0.78	597
75	75	0.0650538	184	920	0	3	3	0.29	0.01201	0.39	823
76	76	16.3598	1480000	7400000	0	11	9	0	0.01901	0.44	-0.35
77	77	1.81272	240000	1200000	0	15	1	0.18	0.02701	0.93	-0.411
78	78	0.06253	170	850	1	10	9	0.48	0.01201	0.07	-0.761
79	79	0.040552	16400	82000	0	7	1	0.36	0.01101	0.49	-0.134
80	80	1.09947	580000	2900000	0	1	8	0.97	0.04401	0.96	-0.017
81	81	0.484355	10200	51000	0	4	7	0.35	0.03401	0.87	235
82	82	0.0464973	94	470	1	10	1	0.97	0.01701	0.1	547
83	83	0.736998	15400	77000	0	14	1	0.03	0.01001	0.23	10
84	84	0.245325	1420000	7100000	0	8	2	0.53	0.04001	0.44	-0.578
85	85	0.0345832	52	260	0	5	5	0.68	0.03701	0.05	-0.497
86	86	8.12406	1520000	7600000	0	7	9	0.6	0.02601	0.36	-0.202
87	87	14.803	11400	57000	0	9	1	0.94	0.04501	0.58	-0.279
88	88	24.406	2e+06	1e+07	0	7	2	0.27	0.02201	0.49	-0.185
89	89	0.0997418	1460000	7300000	0	13	2	0.16	0.03601	0.31	-0.517
90	90	0.0418091	76	380	1	4	6	0.65	0.01401	0.46	-0.734
91	91	0.0262679	30	150	0	10	8	0.81	0.04101	0.49	-0.317
92	92	0.0571489	142	710	1	15	8	0.65	0.03601	0.07	-0.743
93	93	8.97847	2e+06	1e+07	0	3	3	0.99	0.03301	0.73	-0.063
94	94	0.0547395	12400	62000	0	7	4	0.1	0.03301	0.08	-0.847
95	95	0.0484355	102	510	1	3	1	0.78	0.01901	0.65	-0.107
96	96	0.0464973	94	470	0	15	2	0.53	0.03201	0.9	-0.676
97	97	0.0395474	68	340	1	12	8	0.83	0.04101	0.68	-0.726
98	98	0.603403	760000	3800000	0	6	7	0.97	0.02901	0.18	-0.953
99	99	0.0614166	164	820	0	10	1	0.63	0.03001	0.51	867
100	100	0.447012	880000	4400000	0	7	1	0.11	0.01601	0.57	-0.689
101	101	0.447012	1060000	5300000	0	15	8	0.22	0.01201	0.46	-0.292
102	102	0.0587367	150	750	1	2	2	0.87	0.04701	0.45	62
103	103	0.0449889	88	440	1	8	4	0.72	0.00101	0.83	-0.456
104	104	6.01845	720000	3600000	0	15	9	0.02	0.00901	0.7	-0.798
105	105	0.224944	2200	11000	0	9	6	0.41	0.00901	0.44	-0.957
106	106	2.44692	1840000	9200000	0	2	1	0.43	0.03801	0.08	-0.231
107	107	0.345832	5200	26000	0	6	7	0.92	0.01301	0.1	921
108	108	0.469894	9600	48000	0	9	5	0.16	0.03701	0.35	-0.962
109	109	1.2151	1e+06	5e+06	0	13	8	0.76	0.01501	0.63	-0.22
110	110	0.0439545	84	420	0	6	1	0.56	0.03601	0.02	-0.057
111	111	2.70426	1060000	5300000	0	2	3	0.06	0.01101	0.18	-0.69
112	112	0.454973	9000	45000	0	1	5	0.36	0.04201	0.98	-0.099
113	113	19.982	640000	3200000	0	1	8	0.62	0.04201	0.92	-0.132
114	114	0.0489081	104	520	1	6	4	0.49	0.02501	0.15	427
115	115	3.65037	1220000	6100000	0	9	8	0.12	0.02501	0.77	-0.066
116	116	0.814509	720000	3600000	0	12	5	0.81	0.02301	0.06	-0.93
117	117	0.0674833	198	990	1	1	7	0.11	0.04701	0.64	836
118	118	1.3429	15200	76000	0	7	5	0.21	0.04901	0.05	-0.805
119	119	9.92275	1600000	8e+06	0	7	5	0.9	0.03101	0.9	-0.832
120	120	6.65142	1560000	7800000	0	4	1	0.43	0.02801	0.18	-0.842
121	121	0.358887	5600	28000	0	11	8	0.57	0.00501	0.29	-0.54
122	122	0.0428952	80	400	1	9	5	0.01	0.02001	0.61	-0.35
123	123	0.0571489	142	710	1	4	9	0.39	0.02901	0.6	-0.503
124	124	0.0507543	112	560	1	4	3	0.86	0.02301	0.04	-0.246
125	125	1.2151	15600	78000	0	15	4	0.21	0.00801	0.2	-0.52
126	126	0.164446	14200	71000	0	2	6	0.18	0.01801	0.64	-0.463
127	127	0.0595147	154	770	1	5	9	0.35	0.01201	0.03	-0.441
128	128	0.447012	80000	4e+05	0	6	4	0.33	0.04801	0.04	-0.725
129	129	0.0525357	120	600	1	5	9	0.91	0.02601	0.03	-0.343
130	130	0.0383667	64	320	1	1	5	0.49	0.03601	0.12	14
131	131	0.0602827	158	790	0	3	8	0.42	0.01301	0.61	-0.122
132	132	0.0738906	17600	88000	0	15	1	0.27	0.02801	0.57	-0.129
133	133	0.036524	58	290	1	6	2	1	0.02101	0.39	-0.947
134	134	0.28775	3600	18000	0	9	8	0.02	0.03401	0.58	-0.486
135	135	0.0377624	62	310	1	4	1	0.13	0.04601	0.4	-0.128
136	136	0.0529717	122	610	1	4	7	0.8	0.02401	0.26	-0.702
137	137	0.994843	1520000	7600000	0	10	3	0.58	0.04401	0.17	-0.823
138	138	0.0149182	2e+05	1e+06	0	4	3	0.3	0.00401	0.94	-0.153
139	139	0.0234947	24	120	1	4	8	0.3	0.02601	0.98	-0.316
140	140	0.404473	20000	1e+05	0	9	6	0.92	0.00801	0.88	-0.997
141	141	0.0587367	150	750	0	15	6	0.92	0.03901	0.61	971
142	142	0.0636239	176	880	1	4	3	0.52	0.02601	0.64	618
143	143	3.65037	17200	86000	0	15	2	0.42	0.01901	0.91	-0.787
144	144	0.484355	10200	51000	0	11	9	0.95	0.04801	0.57	-0.009
145	145	0.0428952	80	400	1	8	2	0.66	0.01601	0.83	-0.013
146	146	0.0512055	114	570	0	2	2	0.11	0.02801	0.05	-0.197
147	147	0.489081	10400	52000	0	12	9	0.1	0.03901	0.83	440
148	148	0.0632614	174	870	0	4	1	0.64	0.03301	0.09	-0.027
149	149	0.395474	6800	34000	0	7	1	0.72	0.04101	0.26	-0.888
150	150	0.0595147	154	770	1	4	5	0.91	0.00401	0.19	159
151	151	0.234947	2400	12000	0	11	7	0.57	0.00201	0.88	683
152	152	26.9728	17000	85000	0	5	8	0.09	0.04401	0.02	-0.202
153	153	1.64022	1020000	5100000	0	8	6	0.36	0.01401	0.21	-0.605
154	154	0.05755	144	720	0	1	1	0.43	0.02701	0.09	-0.958
155	155	1.81272	560000	2800000	0	12	1	0.75	0.03401	0.03	-0.165
156	156	0.06253	170	850	0	5	5	0.42	0.00701	0.99	-0.751
157	157	0.0959166	400	2000	0	6	4	0.49	0.01101	0.6	-0.915
158	158	0.271293	3200	16000	0	3	1	0.3	0.04001	0.55	-0.957
159	159	0.0484355	102	510	0	1	6	0.73	0.04101	0.93	-0.286
160	160	19.982	1320000	6600000	0	15	2	0.13	0.00701	0.43	-0.368
161	161	0.494024	19600	98000	0	10	8	0.97	0.00501	0.42	864
162	162	4.03429	12200	61000	0	7	9	0.13	0.04201	0.7	-0.932
163	163	0.464973	9400	47000	0	7	4	0.99	0.04301	0.25	-0.45
164	164	19.982	1360000	6800000	0	6	6	0.27	0.04801	0.47	-0.791
165	165	0.200855	340000	1700000	0	10	4	0.33	0.00401	0.02	69
166	166	0.444747	8600	43000	0	14	2	0.12	0.00401	0.77	-0.068
167	167	2.00337	880000	4400000	0	7	2	0.31	0.03801	0.24	-0.434
168	168	0.134637	760000	3800000	0	5	3	0.44	0.02401	0.89	-0.534
169	169	22.0835	1580000	7900000	0	7	9	0.4	0.01801	0.71	894
170	170	0.024596	1980000	9900000	0	14	4	0.23	0.03801	0.4	940
171	171	1.81272	7e+05	3500000	0	10	7	0.62	0.02901	0.14	-0.088
172	172	0.489081	10400	52000	0	10	7	0.66	0.01201	0.82	-0.126
173	173	1.81272	680000	3400000	0	15	7	0.33	0.01201	0.01	97
174	174	0.01	1140000	5700000	0	4	9	0.84	0.02001	0.09	-0.412
175	175	0.494024	720000	3600000	0	10	6	0.09	0.02101	0.31	-0.143
176	176	0.061041	162	810	1	3	1	0.91	0.01901	0.46	-0.912
177	177	0.0493761	106	530	0	15	9	0.37	0.01301	0.98	-0.203
178	178	19.982	1080000	5400000	0	6	2	0.21	0.03701	0.63	-0.267
179	179	0.0525357	120	600	0	11	5	0.08	0.02001	0.48	-0.863
180	180	0.0529717	122	610	0	1	5	0.18	0.00601	0.02	-0.582
181	181	14.803	15600	78000	0	8	4	0	0.04401	0.45	351
182	182	0.814509	880000	4400000	0	3	1	0.1	0.01501	0.49	-0.551
183	183	0.0295635	38	190	1	5	1	0.64	0.02701	0.21	-0.79
184	184	0.418091	7600	38000	0	4	8	0.25	0.00301	0.98	-0.935
185	185	0.0628967	172	860	1	12	9	0.86	0.02901	0.73	-0.043
186	186	0.412553	7400	37000	0	2	8	0.65	0.03101	0.83	-0.498
187	187	0.814509	240000	1200000	0	2	7	0.5	0.03201	0.05	-0.965
188	188	0.0469894	96	480	1	13	4	0.76	0.02201	0.26	584
189	189	0.0667982	194	970	0	13	9	0.16	0.03201	0.09	-0.548
190	190	26.9728	1300000	6500000	0	10	5	0.46	0.03101	0.88	-0.116
191	191	0.377624	6200	31000	0	8	6	0.99	0.03501	0.42	-0.698
192	192	0.06179	166	830	0	1	9	0.61	0.00401	0.64	-0.13
193	193	0.493761	10600	53000	0	15	8	0.09	0.00701	0.13	-0.541
194	194	0.339116	5000	25000	0	13	5	0.28	0.00301	0.87	328
195	195	1.64022	980000	4900000	0	15	1	0.24	0.02801	0.5	-0.383
196	196	1.64022	40000	2e+05	0	13	3	0.02	0.02501	0.73	-0.738
197	197	0.0389615	66	330	0	2	2	0.19	0.02801	0.57	-0.284
198	198	0.20347	1800	9000	0	13	5	0.88	0.04601	0.79	-0.981
199	199	0.0201375	12200	61000	0	10	7	0.12	0.03101	0.87	-0.077
200	200	19.982	1540000	7700000	0	11	9	0.21	0.02501	0.62	278
201	201	0.389615	6600	33000	0	11	3	0.33	0.01801	0.61	-0.703
202	202	0.814509	20000	1e+05	0	3	1	0.19	0.00401	0.6	889
203	203	0.0332012	1140000	5700000	0	11	4	0.67	0.03301	0.53	-0.512
204	204	0.036524	58	290	0	14	6	0.4	0.02401	0.64	-0.05
205	205	0.028775	36	180	0	5	3	0.44	0.02301	0.52	-0.685
206	206	0.412553	7400	37000	0	13	1	0.24	0.01601	0.6	-0.178
207	207	0.332265	4800	24000	0	10	5	0.78	0.02301	0.26	-0.464
208	208	0.469894	9600	48000	0	4	6	0.99	0.03401	0.82	-0.464
209	209	0.545982	11400	57000	0	4	3	0.12	0.00801	0.94	-0.817
210	210	0.494024	1760000	8800000	0	15	9	0.03	0.02501	0.52	115
211	211	0.0495303	12000	60000	0	3	1	0.1	0.01801	0.05	-0.43
212	212	0.0474763	98	490	0	2	4	0.4	0.04401	0.43	41
213	213	0.484355	10200	51000	0	14	1	0.43	0.00701	0.36	-0.585
214	214	0.151658	1000	5000	0	11	4	0.63	0.00201	0.42	-0.951
215	215	0.0598999	156	780	0	11	7	0.71	0.02801	0.09	-0.971
216	216	0.0571489	142	710	0	10	8	0.7	0.01201	0.85	-0.216
217	217	0.0550999	132	660	1	4	7	0.49	0.03501	0.37	77
218	218	0.0271828	580000	2900000	0	9	1	0.31	0.00101	0.27	-0.01
219	219	0.484355	10200	51000	0	6	5	1	0.04301	0.33	391
220	220	0.377624	6200	31000	0	11	3	0.61	0.03101	0.86	-0.665
221	221	0.447012	19600	98000	0	5	4	0.17	0.03701	0.22	-0.84
222	222	1.09947	1540000	7700000	0	4	5	0.05	0.02401	0.63	-0.231
223	223	26.9728	19400	97000	0	2	5	0.31	0.04901	0.73	-0.29
224	224	0.0525357	120	600	0	8	4	0.8	0.02701	0.45	269
225	225	0.0149182	19000	95000	0	1	8	0.08	0.03901	0.37	-0.017
226	226	0.469894	9600	48000	0	13	8	0.99	0.03001	0.81	-0.633
227	227	0.135647	800	4000	0	14	5	0.79	0.01201	0.47	-0.686
228	228	0.0571489	142	710	1	15	8	0.12	0.00601	0.89	-0.121
229	229	0.179444	1400	7000	0	5	1	0.17	0.03601	0.08	-0.2
230	230	0.0401248	70	350	1	5	5	0.48	0.03001	0.67	-0.305
231	231	0.439545	8400	42000	0	4	3	0.16	0.04101	0.43	663
232	232	0.0164872	1040000	5200000	0	15	3	0.63	1e-05	0.43	-0.263
233	233	0.134637	17600	88000	0	14	4	0.17	0.04101	0.65	-0.199
234	234	1.09947	1360000	6800000	0	9	4	0.55	0.04901	0.01	558
235	235	0.0507543	112	560	0	3	8	0.91	0.04801	0.15	-0.21
236	236	0.0520961	118	590	0	6	2	0.72	0.02501	0.12	-0.567
237	237	9.92275	20000	1e+05	0	9	5	0.87	0.03201	0.67	-0.557
238	238	0.339116	5000	25000	0	1	1	0.57	0.03901	0.81	-0.698
239	239	0.040552	680000	3400000	0	12	7	0.62	0.03101	0.25	-0.146
240	240	0.0164872	1960000	9800000	0	15	2	0.97	0.02401	0.44	-0.906
241	241	0.0423556	78	390	1	9	9	0.74	0.02001	0.23	-0.306
242	242	0.303315	4000	20000	0	7	4	0.03	0.01601	0.78	-0.689
243	243	0.0495303	7e+05	3500000	0	15	7	0.8	0.03601	0.91	-0.617
244	244	0.0604965	19800	99000	0	15	4	0.67	0.01701	0.56	-0.223
245	245	0.0345832	52	260	0	9	9	0.22	0.02201	0.94	-0.809
246	246	0.0135647	8	40	0	4	2	0.67	0.02601	0.02	-0.151
247	247	0.545982	1700000	8500000	0	10	5	0.84	0.02701	0.88	-0.92
248	248	0.253772	2800	14000	0	14	5	0.03	0.04901	0.12	-0.156
249	249	0.469894	9600	48000	0	4	1	0.66	0.02901	0.07	-0.192
250	250	0.28775	3600	18000	0	2	8	0.54	0.04601	0.68	133
251	251	4.03429	15000	75000	0	6	9	0.72	0.00901	0.01	-0.253
252	252	0.299641	760000	3800000	0	7	9	0.07	0.00501	0.77	976
253	253	0.0579483	146	730	1	4	3	0.85	0.02901	0.37	353
254	254	0.0358887	56	280	0	7	3	0.41	0.00101	0.97	-0.556
255	255	26.9728	1e+06	5e+06	0	11	5	0.22	0.03601	0.48	-0.1
256	256	0.434281	8200	41000	0	6	4	0.72	0.00801	0.97	-0.554
257	257	8.12406	1400000	7e+06	0	6	7	0.83	0.04201	0.26	-0.934
258	258	0.0449889	88	440	1	3	2	0.59	0.04701	0.13	-0.594
259	259	0.0507543	112	560	0	9	7	0.33	0.02301	0.85	187
260	260	0.0191833	16	80	0	11	6	0.65	0.00101	0.37	284
261	261	0.331155	1560000	7800000	0	8	2	0.6	0.03501	0.35	-0.15
262	262	0.24454	2600	13000	0	9	3	0.04	0.02701	0.94	-0.985
263	263	0.200855	1040000	5200000	0	10	9	0.74	0.02201	0.81	-0.216
264	264	0.0604965	1760000	8800000	0	8	3	0.93	0.04001	0.13	189
265	265	0.179444	1400	7000	0	11	9	0.19	0.01501	0.15	-0.544
266	266	10.9663	580000	2900000	0	1	8	0.83	0.00501	0.52	-0.834
267	267	0.666863	1560000	7800000	0	14	3	0.5	0.04901	0.77	-0.117
268	268	0.454973	9000	45000	0	9	9	0.54	0.01501	0.91	-0.422
269	269	0.0489081	104	520	0	15	6	0.43	0.03501	0.03	-0.532
270	270	0.0383667	64	320	1	8	7	0.58	0.01401	0.35	-0.814
271	271	0.0395474	68	340	1	6	7	0.06	0.00501	0.9	-0.458
272	272	0.148797	1e+05	5e+05	0	12	1	0.61	0.01301	0.76	-0.225
273	273	0.666863	14000	70000	0	12	1	0.12	0.04401	0.26	-0.823
274	274	8.97847	520000	2600000	0	1	7	0.22	1e-05	0.86	373
275	275	2.00337	680000	3400000	0	14	1	0.57	0.00801	0.37	-0.82
276	276	0.0179444	14	70	1	1	6	0.58	0.04101	0.64	318
277	277	22.0835	1080000	5400000	0	7	8	0.1	0.02901	0.29	58
278	278	4.45858	1280000	6400000	0	10	8	0.15	0.04301	0.28	-0.589
279	279	24.406	220000	1100000	0	10	1	0.49	0.01201	0.85	-0.424
280	280	0.0134986	780000	3900000	0	7	8	0	0.03801	0.5	-0.589
281	281	0.035242	54	270	0	5	8	0.66	0.02901	0.67	-0.593
282	282	0.0151658	10	50	0	1	9	0.96	0.03001	0.26	-0.705
283	283	0.066453	192	960	0	6	3	0.94	0.04801	0.5	-0.245
284	284	0.0110517	860000	4300000	0	5	2	0.01	0.02401	0.56	687
285	285	0.110232	720000	3600000	0	11	3	0.36	0.01001	0.87	-0.592
286	286	0.0201375	1200000	6e+06	0	12	8	0.72	0.03801	0.9	-0.604
287	287	0.454973	9000	45000	0	2	8	0.95	0.00801	0.2	-0.774
288	288	0.0383667	64	320	0	9	8	0.35	0.03701	0.1	551
289	289	0.603403	520000	2600000	0	8	2	0.95	0.01901	0.66	-0.024
290	290	8.12406	1880000	9400000	0	9	5	0.28	0.01301	0.29	-0.88
291	291	0.0345832	52	260	0	11	9	0.45	0.04001	0.29	-0.652
292	292	0.0529717	122	610	0	2	6	0.06	0.01501	0.71	500
293	293	0.0345832	52	260	0	7	6	0.64	0.04301	0.24	-0.403
294	294	0.0547395	17600	88000	0	2	2	0.93	0.04501	0.23	845
295	295	0.0332265	48	240	1	5	5	0.47	0.04901	0.98	-0.143
296	296	0.464973	9400	47000	0	14	7	0.85	0.04701	0.88	-0.89
297	297	0.365982	340000	1700000	0	7	3	0.63	0.04501	0.56	168
298	298	24.406	1500000	7500000	0	14	3	0.59	0.04201	0.09	-0.083
299	299	0.0279643	34	170	1	6	4	0.3	0.03301	0.83	-0.463
300	300	0.449889	8800	44000	0	3	2	0.14	0.02101	0.78	-0.05
301	301	0.0571489	142	710	0	1	8	0.75	0.00901	0.2	-0.452
302	302	0.040552	720000	3600000	0	4	8	0.27	0.00201	0.26	-0.455
303	303	0.28775	3600	18000	0	2	7	0.16	0.01301	0.36	-0.339
304	304	0.502991	11000	55000	0	3	3	0.02	0.03901	0.75	-0.366
305	305	0.666863	1800000	9e+06	0	13	2	0.32	0.03501	0.39	-0.888
306	306	26.9728	1980000	9900000	0	6	5	0.4	1e-05	0.55	-0.912
307	307	6.65142	12200	61000	0	11	5	0.95	0.00301	0.94	-0.954
308	308	22.0835	4e+05	2e+06	0	4	3	1	0.02901	0.24	-0.994
309	309	0.28775	3600	18000	0	2	3	0.76	0.03701	0.29	-0.341
310	310	0.0816617	60000	3e+05	0	10	5	0.26	0.00801	0.13	-0.09
311	311	13.3943	18400	92000	0	2	5	0.52	0.02801	0.04	-0.151
312	312	0.404473	1680000	8400000	0	1	6	0.61	0.04901	0.16	-0.472
313	313	0.469894	9600	48000	0	12	2	0.02	0.02301	0.83	411
314	314	14.803	140000	7e+05	0	11	9	0.68	0.00601	0.64	-0.28
315	315	0.0512055	114	570	1	2	5	0.53	0.03701	0.27	-0.754
316	316	0.224944	2200	11000	0	10	6	1	0.03501	0.6	-0.076
317	317	0.0628967	172	860	1	15	6	0.92	0.02101	0.16	27
318	318	0.545982	580000	2900000	0	13	7	0.72	0.03501	0.13	-0.152
319	319	0.0395474	68	340	1	2	8	0.67	0.01301	0.28	963
320	320	0.00678233	2	10	1	2	8	0.29	0.04201	0.37	-0.718
321	321	0.0668589	1580000	7900000	0	1	9	0.52	0.00201	0.27	527
322	322	1.64022	1820000	9100000	0	14	1	0.21	0.00701	0.64	619
323	323	0.0512055	114	570	0	8	9	0.04	0.01301	0.41	-0.478
324	324	0.0339116	50	250	0	5	3	0.05	0.04401	0.14	-0.486
325	325	0.36524	5800	29000	0	4	6	0.56	0.03001	0.22	-0.824
326	326	0.0179444	14	70	0	5	1	0.73	0.03301	0.01	63
327	327	0.494024	1580000	7900000	0	14	3	0.94	0.03001	0.92	-0.784
328	328	0.024596	11400	57000	0	7	6	0.38	0.04101	0.93	-0.938
329	329	0.295635	3800	19000	0	4	2	0.83	0.02901	0.71	-0.951
330	330	8.12406	560000	2800000	0	12	2	0.63	0.01401	0.49	-0.239
331	331	0.0444747	86	430	1	4	5	0.06	0.04901	0.77	-0.728
332	332	0.0134986	160000	8e+05	0	14	7	0.82	0.04901	0.94	306
333	333	0.0555158	134	670	1	13	1	0.17	0.03501	0.32	-0.988
334	334	0.059127	152	760	0	3	7	0.88	0.02801	0.9	-0.256
335	335	0.0434281	82	410	0	2	4	0.93	0.00401	0.44	678
336	336	0.024596	960000	4800000	0	8	1	0.57	0.03401	0.55	-0.023
337	337	4.45858	740000	3700000	0	4	1	0.95	0.03701	0.51	-0.379
338	338	1.81272	13600	68000	0	7	8	0.51	0.01801	0.36	-0.298
339	339	0.179444	1400	7000	0	4	6	0.34	0.00201	0.87	914
340	340	0.0579483	146	730	0	7	9	0.29	0.02201	0.62	-0.85
341	341	0.0555158	134	670	0	7	6	0.42	0.02801	0.45	-0.711
342	342	0.0738906	920000	4600000	0	13	6	0.15	0.02901	0.83	-0.227
343	343	26.9728	1860000	9300000	0	7	7	0.15	0.03201	0.13	-0.443
344	344	0.404473	1100000	5500000	0	11	3	0.25	0.04901	0.36	-0.861
345	345	0.035242	54	270	1	6	8	0.34	0.00201	0.74	-0.166
346	346	0.0667982	194	970	0	11	9	0.17	0.02601	0.46	159
347	347	0.666863	13800	69000	0	3	2	0.3	0.03201	0.89	-0.809
348	348	0.0650538	184	920	1	1	7	0.74	0.03001	0.29	-0.75
349	349	0.479583	10000	50000	0	11	9	0.37	0.03201	0.83	-0.818
350	350	0.0650538	184	920	1	9	9	0.5	0.03701	0.43	335
351	351	0.358887	5600	28000	0	5	4	0.01	0.03101	0.24	-0.872
352	352	0.444747	8600	43000	0	8	7	0.28	0.04001	0.09	172
353	353	0.0738906	19400	97000	0	1	4	0.76	0.02601	0.24	627
354	354	19.982	2e+06	1e+07	0	9	2	0.51	0.00301	0.09	-0.493
355	355	0.01	15000	75000	0	8	5	0.04	0.04501	0.22	-0.722
356	356	0.36524	5800	29000	0	13	6	0.38	0.04001	0.8	-0.812
357	357	0.404473	13800	69000	0	6	2	0.18	0.01001	0.14	-0.133
358	358	0.40694	7200	36000	0	3	7	0.69	0.00401	0.73	-0.852
